"model_time",".strategy_names","value_names","value","country_sex_year"
117,"base","benefit",29271242.6241915,"Afghanistan_Male_17"
118,"base","benefit",29263778.325175,"Afghanistan_Male_17"
119,"base","benefit",29256289.1759122,"Afghanistan_Male_17"
120,"base","benefit",29248775.7331235,"Afghanistan_Male_17"
121,"base","benefit",28389551.9853142,"Afghanistan_Male_17"
122,"base","benefit",28382211.796315,"Afghanistan_Male_17"
123,"base","benefit",28374849.5911385,"Afghanistan_Male_17"
124,"base","benefit",28367465.8749286,"Afghanistan_Male_17"
125,"base","benefit",28360061.1435467,"Afghanistan_Male_17"
126,"base","benefit",28352635.8835298,"Afghanistan_Male_17"
127,"base","benefit",28345190.5720957,"Afghanistan_Male_17"
128,"base","benefit",28337725.6771858,"Afghanistan_Male_17"
129,"base","benefit",28330241.657539,"Afghanistan_Male_17"
130,"base","benefit",28322738.96279,"Afghanistan_Male_17"
131,"base","benefit",28315218.0335872,"Afghanistan_Male_17"
132,"base","benefit",28307679.3017264,"Afghanistan_Male_17"
133,"base","benefit",27475847.7575688,"Afghanistan_Male_17"
134,"base","benefit",27468495.2561467,"Afghanistan_Male_17"
135,"base","benefit",27461126.6781311,"Afghanistan_Male_17"
136,"base","benefit",27453742.4098491,"Afghanistan_Male_17"
137,"base","benefit",27446342.8298044,"Afghanistan_Male_17"
138,"base","benefit",27438928.3088426,"Afghanistan_Male_17"
139,"base","benefit",27431499.2103175,"Afghanistan_Male_17"
140,"base","benefit",27424055.8902563,"Afghanistan_Male_17"
141,"base","benefit",27416598.6975239,"Afghanistan_Male_17"
142,"base","benefit",27409127.9739862,"Afghanistan_Male_17"
143,"base","benefit",27401644.0546704,"Afghanistan_Male_17"
144,"base","benefit",27394147.2679238,"Afghanistan_Male_17"
145,"base","benefit",26588968.8694846,"Afghanistan_Male_17"
146,"base","benefit",26581666.3816094,"Afghanistan_Male_17"
147,"base","benefit",26574352.3200181,"Afghanistan_Male_17"
148,"base","benefit",26567026.9790345,"Afghanistan_Male_17"
149,"base","benefit",26559690.6472233,"Afghanistan_Male_17"
150,"base","benefit",26552343.6075252,"Afghanistan_Male_17"
151,"base","benefit",26544986.1373898,"Afghanistan_Male_17"
152,"base","benefit",26537618.5089051,"Afghanistan_Male_17"
153,"base","benefit",26530240.9889234,"Afghanistan_Male_17"
154,"base","benefit",26522853.839184,"Afghanistan_Male_17"
155,"base","benefit",26515457.3164332,"Afghanistan_Male_17"
156,"base","benefit",26508051.6725409,"Afghanistan_Male_17"
157,"base","benefit",25575653.6080401,"Afghanistan_Male_17"
158,"base","benefit",25567709.5697732,"Afghanistan_Male_17"
159,"base","benefit",25559765.7908858,"Afghanistan_Male_17"
160,"base","benefit",25551821.0563896,"Afghanistan_Male_17"
161,"base","benefit",25543874.4610549,"Afghanistan_Male_17"
162,"base","benefit",25535925.3254452,"Afghanistan_Male_17"
163,"base","benefit",25527973.1391898,"Afghanistan_Male_17"
164,"base","benefit",25520017.5214828,"Afghanistan_Male_17"
165,"base","benefit",25512058.1927218,"Afghanistan_Male_17"
166,"base","benefit",25504094.9535442,"Afghanistan_Male_17"
167,"base","benefit",25496127.6689165,"Afghanistan_Male_17"
168,"base","benefit",25488156.2557881,"Afghanistan_Male_17"
169,"base","benefit",24738039.4886717,"Afghanistan_Male_17"
170,"base","benefit",24730292.1506011,"Afghanistan_Male_17"
171,"base","benefit",24722540.7793943,"Afghanistan_Male_17"
172,"base","benefit",24714785.4182523,"Afghanistan_Male_17"
173,"base","benefit",24707026.1284422,"Afghanistan_Male_17"
174,"base","benefit",24699262.9858814,"Afghanistan_Male_17"
175,"base","benefit",24691496.0783092,"Afghanistan_Male_17"
176,"base","benefit",24683725.5029406,"Afghanistan_Male_17"
177,"base","benefit",24675951.3645179,"Afghanistan_Male_17"
178,"base","benefit",24668173.7736917,"Afghanistan_Male_17"
179,"base","benefit",24660392.8456759,"Afghanistan_Male_17"
180,"base","benefit",24652608.6991297,"Afghanistan_Male_17"
181,"base","benefit",23927011.1215824,"Afghanistan_Male_17"
182,"base","benefit",23919447.8028167,"Afghanistan_Male_17"
183,"base","benefit",23911881.7166784,"Afghanistan_Male_17"
184,"base","benefit",23904312.9841563,"Afghanistan_Male_17"
185,"base","benefit",23896741.7263834,"Afghanistan_Male_17"
186,"base","benefit",23889168.064289,"Afghanistan_Male_17"
187,"base","benefit",23881592.1183141,"Afghanistan_Male_17"
188,"base","benefit",23874014.0081782,"Afghanistan_Male_17"
189,"base","benefit",23866433.8526898,"Afghanistan_Male_17"
190,"base","benefit",23858851.7695937,"Afghanistan_Male_17"
191,"base","benefit",23851267.8754481,"Afghanistan_Male_17"
192,"base","benefit",23843682.285527,"Afghanistan_Male_17"
193,"base","benefit",23141839.9162563,"Afghanistan_Male_17"
194,"base","benefit",23134472.303489,"Afghanistan_Male_17"
195,"base","benefit",23127103.3719482,"Afghanistan_Male_17"
196,"base","benefit",23119733.2279785,"Afghanistan_Male_17"
197,"base","benefit",23112361.9764508,"Afghanistan_Male_17"
198,"base","benefit",23104989.7207486,"Afghanistan_Male_17"
199,"base","benefit",23097616.5627615,"Afghanistan_Male_17"
200,"base","benefit",23090242.6028834,"Afghanistan_Male_17"
201,"base","benefit",23082867.9400159,"Afghanistan_Male_17"
202,"base","benefit",23075492.671575,"Afghanistan_Male_17"
203,"base","benefit",23068116.893501,"Afghanistan_Male_17"
204,"base","benefit",23060740.7002702,"Afghanistan_Male_17"
205,"base","benefit",22381906.9756405,"Afghanistan_Male_17"
206,"base","benefit",22374745.0864197,"Afghanistan_Male_17"
207,"base","benefit",22367583.0609259,"Afghanistan_Male_17"
208,"base","benefit",22360420.9853498,"Afghanistan_Male_17"
209,"base","benefit",22353258.9445412,"Afghanistan_Male_17"
210,"base","benefit",22346097.0220273,"Afghanistan_Male_17"
211,"base","benefit",22338935.300032,"Afghanistan_Male_17"
212,"base","benefit",22331773.859494,"Afghanistan_Male_17"
213,"base","benefit",22324612.7800865,"Afghanistan_Male_17"
214,"base","benefit",22317452.140236,"Afghanistan_Male_17"
215,"base","benefit",22310292.0171411,"Afghanistan_Male_17"
216,"base","benefit",22303132.4867918,"Afghanistan_Male_17"
217,"base","benefit",21752881.0456592,"Afghanistan_Male_17"
218,"base","benefit",21744371.175279,"Afghanistan_Male_17"
219,"base","benefit",21735872.0486454,"Afghanistan_Male_17"
220,"base","benefit",21727381.9391231,"Afghanistan_Male_17"
221,"base","benefit",21718899.5689052,"Afghanistan_Male_17"
222,"base","benefit",21710423.97084,"Afghanistan_Male_17"
223,"base","benefit",21701954.3994506,"Afghanistan_Male_17"
224,"base","benefit",21693490.272157,"Afghanistan_Male_17"
225,"base","benefit",21685031.1293197,"Afghanistan_Male_17"
226,"base","benefit",21676576.6062419,"Afghanistan_Male_17"
227,"base","benefit",21668126.4129439,"Afghanistan_Male_17"
228,"base","benefit",21659680.3191273,"Afghanistan_Male_17"
229,"base","benefit",21020619.5560282,"Afghanistan_Male_17"
230,"base","benefit",21012426.9328975,"Afghanistan_Male_17"
231,"base","benefit",21004237.8670289,"Afghanistan_Male_17"
232,"base","benefit",20996052.2767487,"Afghanistan_Male_17"
233,"base","benefit",20987870.1016037,"Afghanistan_Male_17"
234,"base","benefit",20979691.2986762,"Afghanistan_Male_17"
235,"base","benefit",20971515.8395478,"Afghanistan_Male_17"
236,"base","benefit",20963343.707787,"Afghanistan_Male_17"
237,"base","benefit",20955174.8968636,"Afghanistan_Male_17"
238,"base","benefit",20947009.4084147,"Afghanistan_Male_17"
239,"base","benefit",20938847.2507991,"Afghanistan_Male_17"
240,"base","benefit",20930688.4378923,"Afghanistan_Male_17"
241,"base","benefit",20313138.8233793,"Afghanistan_Male_17"
242,"base","benefit",20305224.1974971,"Afghanistan_Male_17"
243,"base","benefit",20297312.8824695,"Afghanistan_Male_17"
244,"base","benefit",20289404.9049097,"Afghanistan_Male_17"
245,"base","benefit",20281500.2932708,"Afghanistan_Male_17"
246,"base","benefit",20273599.0774492,"Afghanistan_Male_17"
247,"base","benefit",20265701.2884535,"Afghanistan_Male_17"
248,"base","benefit",20257806.958129,"Afghanistan_Male_17"
249,"base","benefit",20249916.1189273,"Afghanistan_Male_17"
250,"base","benefit",20242028.8037145,"Afghanistan_Male_17"
251,"base","benefit",20234145.0456122,"Afghanistan_Male_17"
252,"base","benefit",20226264.8778647,"Afghanistan_Male_17"
253,"base","benefit",19629503.2366302,"Afghanistan_Male_17"
254,"base","benefit",19621859.6566839,"Afghanistan_Male_17"
255,"base","benefit",19614219.6590838,"Afghanistan_Male_17"
256,"base","benefit",19606583.2756848,"Afghanistan_Male_17"
257,"base","benefit",19598950.5380831,"Afghanistan_Male_17"
258,"base","benefit",19591321.4775768,"Afghanistan_Male_17"
259,"base","benefit",19583696.125132,"Afghanistan_Male_17"
260,"base","benefit",19576074.5113574,"Afghanistan_Male_17"
261,"base","benefit",19568456.6664823,"Afghanistan_Male_17"
262,"base","benefit",19560842.6203403,"Afghanistan_Male_17"
263,"base","benefit",19553232.4023562,"Afghanistan_Male_17"
264,"base","benefit",19545626.0415357,"Afghanistan_Male_17"
265,"base","benefit",18968954.9188915,"Afghanistan_Male_17"
266,"base","benefit",18961577.6750215,"Afghanistan_Male_17"
267,"base","benefit",18954204.2579516,"Afghanistan_Male_17"
268,"base","benefit",18946834.6941633,"Afghanistan_Male_17"
269,"base","benefit",18939469.0097134,"Afghanistan_Male_17"
270,"base","benefit",18932107.2302336,"Afghanistan_Male_17"
271,"base","benefit",18924749.3809321,"Afghanistan_Male_17"
272,"base","benefit",18917395.4865953,"Afghanistan_Male_17"
273,"base","benefit",18910045.57159,"Afghanistan_Male_17"
274,"base","benefit",18902699.6598662,"Afghanistan_Male_17"
275,"base","benefit",18895357.7749606,"Afghanistan_Male_17"
276,"base","benefit",18888019.9399995,"Afghanistan_Male_17"
277,"base","benefit",18182946.5352608,"Afghanistan_Male_17"
278,"base","benefit",18173726.9681929,"Afghanistan_Male_17"
279,"base","benefit",18164516.9503588,"Afghanistan_Male_17"
280,"base","benefit",18155315.3344972,"Afghanistan_Male_17"
281,"base","benefit",18146121.3940144,"Afghanistan_Male_17"
282,"base","benefit",18136934.6599708,"Afghanistan_Male_17"
283,"base","benefit",18127754.8233734,"Afghanistan_Male_17"
284,"base","benefit",18118581.6761981,"Afghanistan_Male_17"
285,"base","benefit",18109415.0754583,"Afghanistan_Male_17"
286,"base","benefit",18100254.9210495,"Afghanistan_Male_17"
287,"base","benefit",18091101.1418794,"Afghanistan_Male_17"
288,"base","benefit",18081953.6870207,"Afghanistan_Male_17"
289,"base","benefit",17546419.9222727,"Afghanistan_Male_17"
290,"base","benefit",17537551.0821778,"Afghanistan_Male_17"
291,"base","benefit",17528688.3038977,"Afghanistan_Male_17"
292,"base","benefit",17519831.575681,"Afghanistan_Male_17"
293,"base","benefit",17510980.8902886,"Afghanistan_Male_17"
294,"base","benefit",17502136.2440095,"Afghanistan_Male_17"
295,"base","benefit",17493297.6359114,"Afghanistan_Male_17"
296,"base","benefit",17484465.0672594,"Afghanistan_Male_17"
297,"base","benefit",17475638.5410582,"Afghanistan_Male_17"
298,"base","benefit",17466818.0616878,"Afghanistan_Male_17"
299,"base","benefit",17458003.6346094,"Afghanistan_Male_17"
300,"base","benefit",17449195.266129,"Afghanistan_Male_17"
301,"base","benefit",16932420.3526241,"Afghanistan_Male_17"
302,"base","benefit",16923880.3235732,"Afghanistan_Male_17"
303,"base","benefit",16915346.1982276,"Afghanistan_Male_17"
304,"base","benefit",16906817.9844225,"Afghanistan_Male_17"
305,"base","benefit",16898295.6901581,"Afghanistan_Male_17"
306,"base","benefit",16889779.3235303,"Afghanistan_Male_17"
307,"base","benefit",16881268.8926735,"Afghanistan_Male_17"
308,"base","benefit",16872764.4057137,"Afghanistan_Male_17"
309,"base","benefit",16864265.8707302,"Afghanistan_Male_17"
310,"base","benefit",16855773.2957238,"Afghanistan_Male_17"
311,"base","benefit",16847286.6885916,"Afghanistan_Male_17"
312,"base","benefit",16838806.057106,"Afghanistan_Male_17"
313,"base","benefit",16340127.5814539,"Afghanistan_Male_17"
314,"base","benefit",16331905.5839242,"Afghanistan_Male_17"
315,"base","benefit",16323689.4097558,"Afghanistan_Male_17"
316,"base","benefit",16315479.0658757,"Afghanistan_Male_17"
317,"base","benefit",16307274.5590351,"Afghanistan_Male_17"
318,"base","benefit",16299075.8958038,"Afghanistan_Male_17"
319,"base","benefit",16290883.0825672,"Afghanistan_Male_17"
320,"base","benefit",16282696.1255234,"Afghanistan_Male_17"
321,"base","benefit",16274515.0306811,"Afghanistan_Male_17"
322,"base","benefit",16266339.803859,"Afghanistan_Male_17"
323,"base","benefit",16258170.4506849,"Afghanistan_Male_17"
324,"base","benefit",16250006.9765963,"Afghanistan_Male_17"
325,"base","benefit",15768785.8124661,"Afghanistan_Male_17"
326,"base","benefit",15760871.5402659,"Afghanistan_Male_17"
327,"base","benefit",15752962.9906474,"Afghanistan_Male_17"
328,"base","benefit",15745060.1681562,"Afghanistan_Male_17"
329,"base","benefit",15737163.0771576,"Afghanistan_Male_17"
330,"base","benefit",15729271.7218381,"Afghanistan_Male_17"
331,"base","benefit",15721386.1062071,"Afghanistan_Male_17"
332,"base","benefit",15713506.2340988,"Afghanistan_Male_17"
333,"base","benefit",15705632.109174,"Afghanistan_Male_17"
334,"base","benefit",15697763.7349215,"Afghanistan_Male_17"
335,"base","benefit",15689901.114661,"Afghanistan_Male_17"
336,"base","benefit",15682044.2515442,"Afghanistan_Male_17"
337,"base","benefit",14327465.2954945,"Afghanistan_Male_17"
338,"base","benefit",14317542.9498975,"Afghanistan_Male_17"
339,"base","benefit",14307630.2396671,"Afghanistan_Male_17"
340,"base","benefit",14297726.2165981,"Afghanistan_Male_17"
341,"base","benefit",14287830.3865764,"Afghanistan_Male_17"
342,"base","benefit",14277942.513275,"Afghanistan_Male_17"
343,"base","benefit",14268062.5039983,"Afghanistan_Male_17"
344,"base","benefit",14258190.3436597,"Afghanistan_Male_17"
345,"base","benefit",14248326.0569157,"Afghanistan_Male_17"
346,"base","benefit",14238469.6867273,"Afghanistan_Male_17"
347,"base","benefit",14228621.2824712,"Afghanistan_Male_17"
348,"base","benefit",14218780.8935672,"Afghanistan_Male_17"
349,"base","benefit",13795095.6954022,"Afghanistan_Male_17"
350,"base","benefit",13785557.6137972,"Afghanistan_Male_17"
351,"base","benefit",13776027.4349609,"Afghanistan_Male_17"
352,"base","benefit",13766505.1896038,"Afghanistan_Male_17"
353,"base","benefit",13756990.903936,"Afghanistan_Male_17"
354,"base","benefit",13747484.6001005,"Afghanistan_Male_17"
355,"base","benefit",13737986.2966326,"Afghanistan_Male_17"
356,"base","benefit",13728496.0089072,"Afghanistan_Male_17"
357,"base","benefit",13719013.7495509,"Afghanistan_Male_17"
358,"base","benefit",13709539.5288126,"Afghanistan_Male_17"
359,"base","benefit",13700073.3548899,"Afghanistan_Male_17"
360,"base","benefit",13690615.2342137,"Afghanistan_Male_17"
361,"base","benefit",13282684.6327131,"Afghanistan_Male_17"
362,"base","benefit",13273517.6416832,"Afghanistan_Male_17"
363,"base","benefit",13264358.4800046,"Afghanistan_Male_17"
364,"base","benefit",13255207.1491346,"Afghanistan_Male_17"
365,"base","benefit",13246063.6497139,"Afghanistan_Male_17"
366,"base","benefit",13236927.9816763,"Afghanistan_Male_17"
367,"base","benefit",13227800.1443414,"Afghanistan_Male_17"
368,"base","benefit",13218680.136494,"Afghanistan_Male_17"
369,"base","benefit",13209567.9564512,"Afghanistan_Male_17"
370,"base","benefit",13200463.6021196,"Afghanistan_Male_17"
371,"base","benefit",13191367.0710442,"Afghanistan_Male_17"
372,"base","benefit",13182278.3604493,"Afghanistan_Male_17"
373,"base","benefit",12789512.10415,"Afghanistan_Male_17"
374,"base","benefit",12780703.2895188,"Afghanistan_Male_17"
375,"base","benefit",12771902.0579555,"Afghanistan_Male_17"
376,"base","benefit",12763108.4058172,"Afghanistan_Male_17"
377,"base","benefit",12754322.3292779,"Afghanistan_Male_17"
378,"base","benefit",12745543.8243443,"Afghanistan_Male_17"
379,"base","benefit",12736772.886869,"Afghanistan_Male_17"
380,"base","benefit",12728009.5125619,"Afghanistan_Male_17"
381,"base","benefit",12719253.6970006,"Afghanistan_Male_17"
382,"base","benefit",12710505.4356388,"Afghanistan_Male_17"
383,"base","benefit",12701764.7238138,"Afghanistan_Male_17"
384,"base","benefit",12693031.5567531,"Afghanistan_Male_17"
385,"base","benefit",12314860.125806,"Afghanistan_Male_17"
386,"base","benefit",12306395.9585628,"Afghanistan_Male_17"
387,"base","benefit",12297939.1018463,"Afghanistan_Male_17"
388,"base","benefit",12289489.5506461,"Afghanistan_Male_17"
389,"base","benefit",12281047.2998678,"Afghanistan_Male_17"
390,"base","benefit",12272612.3443355,"Afghanistan_Male_17"
391,"base","benefit",12264184.6787947,"Afghanistan_Male_17"
392,"base","benefit",12255764.2979151,"Afghanistan_Male_17"
393,"base","benefit",12247351.1962928,"Afghanistan_Male_17"
394,"base","benefit",12238945.3684525,"Afghanistan_Male_17"
395,"base","benefit",12230546.8088493,"Afghanistan_Male_17"
396,"base","benefit",12222155.511871,"Afghanistan_Male_17"
397,"base","benefit",11725183.5428749,"Afghanistan_Male_17"
398,"base","benefit",11713466.2064552,"Afghanistan_Male_17"
399,"base","benefit",11701764.862073,"Afghanistan_Male_17"
400,"base","benefit",11690078.0322333,"Afghanistan_Male_17"
401,"base","benefit",11678404.8780297,"Afghanistan_Male_17"
402,"base","benefit",11666744.9315724,"Afghanistan_Male_17"
403,"base","benefit",11655097.9391283,"Afghanistan_Male_17"
404,"base","benefit",11643463.7693247,"Afghanistan_Male_17"
405,"base","benefit",11631842.3595791,"Afghanistan_Male_17"
406,"base","benefit",11620233.6849704,"Afghanistan_Male_17"
407,"base","benefit",11608637.7402741,"Afghanistan_Male_17"
408,"base","benefit",11597054.5297049,"Afghanistan_Male_17"
409,"base","benefit",11248042.7778238,"Afghanistan_Male_17"
410,"base","benefit",11236821.6923018,"Afghanistan_Male_17"
411,"base","benefit",11225612.9929963,"Afghanistan_Male_17"
412,"base","benefit",11214416.6852315,"Afghanistan_Male_17"
413,"base","benefit",11203232.7722479,"Afghanistan_Male_17"
414,"base","benefit",11192061.255181,"Afghanistan_Male_17"
415,"base","benefit",11180902.1331707,"Afghanistan_Male_17"
416,"base","benefit",11169755.4035326,"Afghanistan_Male_17"
417,"base","benefit",11158621.0619511,"Afghanistan_Male_17"
418,"base","benefit",11147499.1026716,"Afghanistan_Male_17"
419,"base","benefit",11136389.5186826,"Afghanistan_Male_17"
420,"base","benefit",11125292.3018807,"Afghanistan_Male_17"
421,"base","benefit",10790492.6633195,"Afghanistan_Male_17"
422,"base","benefit",10779742.6532397,"Afghanistan_Male_17"
423,"base","benefit",10769004.6215271,"Afghanistan_Male_17"
424,"base","benefit",10758278.5573434,"Afghanistan_Male_17"
425,"base","benefit",10747564.4493479,"Afghanistan_Male_17"
426,"base","benefit",10736862.2857681,"Afghanistan_Male_17"
427,"base","benefit",10726172.0544605,"Afghanistan_Male_17"
428,"base","benefit",10715493.742962,"Afghanistan_Male_17"
429,"base","benefit",10704827.338535,"Afghanistan_Male_17"
430,"base","benefit",10694172.8282047,"Afghanistan_Male_17"
431,"base","benefit",10683530.1987916,"Afghanistan_Male_17"
432,"base","benefit",10672899.4369392,"Afghanistan_Male_17"
433,"base","benefit",10351728.6690655,"Afghanistan_Male_17"
434,"base","benefit",10341430.5453815,"Afghanistan_Male_17"
435,"base","benefit",10331143.9038796,"Afghanistan_Male_17"
436,"base","benefit",10320868.7311023,"Afghanistan_Male_17"
437,"base","benefit",10310605.0135057,"Afghanistan_Male_17"
438,"base","benefit",10300352.73747,"Afghanistan_Male_17"
439,"base","benefit",10290111.8893082,"Afghanistan_Male_17"
440,"base","benefit",10279882.4552743,"Afghanistan_Male_17"
441,"base","benefit",10269664.4215693,"Afghanistan_Male_17"
442,"base","benefit",10259457.7743472,"Afghanistan_Male_17"
443,"base","benefit",10249262.4997202,"Afghanistan_Male_17"
444,"base","benefit",10239078.5837625,"Afghanistan_Male_17"
445,"base","benefit",9930976.71117908,"Afghanistan_Male_17"
446,"base","benefit",9921111.42911208,"Afghanistan_Male_17"
447,"base","benefit",9911257.1341331,"Afghanistan_Male_17"
448,"base","benefit",9901413.81260739,"Afghanistan_Male_17"
449,"base","benefit",9891581.4508777,"Afghanistan_Male_17"
450,"base","benefit",9881760.03526629,"Afghanistan_Male_17"
451,"base","benefit",9871949.55207658,"Afghanistan_Male_17"
